Day,Time,Air_Temp_C,Water_Temp_C,Humidity_%,Light_Lux,Water_Level_%,Turbidity_NTU,TDS_Fish_PPM,TDS_Beetroot_PPM,Soil_Moisture
1,06:00 AM,21.0,22.5,65,600,95,85,450,380,1350
1,03:00 PM,30.5,26.8,40,45000,90,110,465,400,1250
1,09:00 PM,24.5,24.2,55,20,89,130,475,415,1320
2,06:00 AM,20.5,22.0,68,550,88,95,480,425,1340
2,03:00 PM,31.0,27.2,38,52000,84,120,495,440,1220
2,09:00 PM,25.0,24.8,50,15,83,145,510,455,1280
3,06:00 AM,22.0,23.5,70,750,98,80,460,390,1360
3,03:00 PM,29.5,26.5,42,48000,94,100,475,405,1280
3,09:00 PM,24.0,24.5,55,10,93,120,490,420,1320
4,06:00 AM,20.8,22.2,66,600,91,90,500,435,1340
4,03:00 PM,31.5,27.5,35,55000,86,130,515,450,1200
4,09:00 PM,25.5,25.0,48,25,85,150,530,465,1270
5,06:00 AM,19.5,21.8,72,500,84,110,540,480,1310
5,03:00 PM,32.5,28.0,33,60000,79,160,560,500,1150
5,09:00 PM,26.0,25.5,45,15,78,175,575,520,1240
